,820,541,256,027,sh,total
2016-11-25,10.39,10.57,4.5,7.09,3261.94,3392784.5
2016-11-24,10.35,10.43,4.51,7.07,3241.74,3371175.5
2016-11-23,10.35,10.47,4.49,7.02,3241.14,3373089.5
2016-11-22,10.56,10.5,4.55,7.1,3248.35,3422495.0
2016-11-21,10.55,10.44,4.45,6.95,3218.15,3409114.0
2016-11-18,10.5,10.53,4.47,6.89,3192.86,3405490.5
2016-11-17,10.4,10.62,4.45,6.96,3208.45,3394897.0
2016-11-16,10.2,10.6,4.42,6.95,3205.06,3350970.0
2016-11-15,10.31,10.55,4.4,6.98,3206.99,3369787.5
2016-11-14,10.4,10.49,4.44,6.94,3210.37,3382226.5
2016-11-11,10.38,10.47,4.38,6.94,3196.04,3375469.5
2016-11-10,10.17,10.46,4.31,6.85,3171.28,3327471.0
2016-11-09,10.05,10.26,4.24,6.77,3128.37,3280951.0
2016-11-08,10.18,10.43,4.26,6.83,3147.89,3325535.5
2016-11-07,10.15,10.37,4.26,6.79,3133.33,3312614.5
2016-11-04,10.23,10.38,4.23,6.75,3125.32,3328503.0
2016-11-03,10.29,10.36,4.23,6.75,3128.94,3339086.0
2016-11-02,10.08,10.2,4.21,6.7,3102.73,3279160.0
2016-11-01,10.26,10.2,4.26,6.7,3122.44,3317070.0
2016-10-31,10.27,10.2,4.24,6.7,3100.49,3318880.0
2016-10-28,10.29,10.27,4.25,6.79,3104.27,3332279.5
2016-10-27,10.41,10.31,4.26,6.83,3112.35,3362123.5
2016-10-26,10.51,10.38,4.26,6.85,3116.31,3389853.0
2016-10-25,10.51,10.48,4.29,6.89,3131.94,3400628.0
2016-10-24,10.67,10.46,4.31,6.92,3128.25,3433071.0
2016-10-21,10.23,10.42,4.22,6.83,3090.94,3334447.0
2016-10-20,10.15,10.54,4.22,6.81,3084.46,3328309.0
2016-10-19,10.1,10.49,4.21,6.78,3084.72,3312336.5
2016-10-18,10.16,10.55,4.19,6.83,3083.88,3331507.5
2016-10-17,9.9,10.39,4.15,6.75,3041.17,3260071.5
2016-10-14,10.05,10.49,4.17,6.77,3063.81,3301166.5
2016-10-13,10.05,10.48,4.18,6.8,3061.35,3301278.0
2016-10-12,9.93,10.54,4.16,6.8,3058.5,3281689.0
2016-10-11,10.0,10.53,4.18,6.84,3065.25,3296720.5
2016-10-10,9.92,10.53,4.15,6.78,3048.14,3277970.5
2016-09-30,9.71,10.31,4.09,6.66,3004.7,3209913.5
2016-09-29,9.7,10.25,4.1,6.68,2998.48,3203062.5
2016-09-28,9.72,10.26,4.06,6.66,2987.86,3207001.0
2016-09-27,9.73,10.3,4.07,6.67,2998.17,3213175.0
2016-09-26,9.95,10.29,4.04,6.62,2980.43,3255906.4999999995
2016-09-23,10.1,10.66,4.13,6.76,3033.9,3326311.0
2016-09-22,9.95,10.83,4.13,6.77,3042.31,3311175.5
2016-09-21,9.95,10.86,4.12,6.75,3025.87,3313201.0
2016-09-20,10.09,10.88,4.12,6.74,3023.0,3343718.0
2016-09-19,9.94,10.83,4.15,6.77,3026.05,3309365.5
2016-09-14,9.9,10.77,4.18,6.74,3002.85,3295064.5
2016-09-13,10.16,10.85,4.2,6.82,3023.51,3358892.5
2016-09-12,10.22,10.76,4.25,6.73,3021.98,3360996.0
2016-09-09,10.07,11.14,4.41,6.88,3078.85,3371429.0
2016-09-08,10.1,11.27,4.42,6.94,3095.95,3391509.5
2016-09-07,10.17,11.26,4.41,6.98,3091.93,3406151.0
2016-09-06,9.63,11.38,4.41,7.05,3090.71,3307493.0000000005
2016-09-05,9.47,10.9,4.39,6.97,3072.1,3227625.0
