,600820.SH:207000,000541.SZ:89850,600256.SH:13000,000027.SZ:30000,002939.SZ:500,601577.SH:1000,601138.SH:500,total 
20191213,5.94,4.79,3.34,6.1,12.97,8.8,18.92,1911126.5
20191212,5.83,4.76,3.35,6.0,11.9,8.69,17.79,1881581.0
20191211,5.87,4.83,3.39,6.05,11.93,8.69,17.82,1898200.5
20191210,5.93,4.87,3.37,6.07,11.61,8.6,17.75,1914269.5
20191209,5.94,4.86,3.37,6.09,11.83,8.62,17.53,1916061.0
20191206,5.89,4.88,3.36,6.08,11.91,8.63,16.8,1906763.0
20191205,5.88,4.86,3.35,6.09,12.0,8.63,17.14,1903281.0
20191204,5.88,4.85,3.35,6.11,11.9,8.58,16.84,1902732.5
20191203,5.87,4.88,3.31,6.08,11.94,8.59,17.09,1902093.0
20191202,5.87,4.91,3.26,6.1,11.83,8.56,17.02,1904618.5
20191129,5.88,4.9,3.25,6.02,11.66,8.56,16.66,1902995.0
20191128,5.87,4.87,3.24,6.0,11.57,8.57,16.38,1897324.5
20191127,5.85,4.88,3.26,6.03,11.6,8.64,16.54,1895408.0
20191126,5.83,4.88,3.25,5.94,11.63,8.72,16.41,1888468.0
20191125,5.86,4.87,3.3,6.02,11.72,8.76,16.2,1896809.5
20191122,5.78,4.85,3.23,5.96,11.82,8.64,16.82,1875982.5
20191121,5.73,4.85,3.22,5.98,11.9,8.68,16.8,1866172.5
20191120,5.74,4.87,3.21,5.96,11.87,8.76,16.21,1869079.5
20191119,5.79,4.89,3.24,6.05,12.06,8.85,16.08,1884436.5
20191118,5.75,4.85,3.2,6.04,12.03,8.81,15.94,1871617.5
20191115,5.75,4.86,3.19,5.93,11.9,8.74,16.01,1868986.0
20191114,5.89,4.89,3.22,6.04,11.85,8.8,15.99,1904376.5
20191113,5.83,4.87,3.2,6.1,11.36,8.8,15.66,1891289.5
20191112,5.81,4.91,3.21,6.05,11.47,8.9,15.78,1889588.5
20191111,5.83,4.92,3.2,6.0,11.38,8.87,15.58,1892822.0
20191108,5.91,5.01,3.32,6.08,11.6,9.08,16.0,1921958.5
20191107,5.93,5.02,3.34,6.13,11.57,9.25,15.32,1928572.0
20191106,5.9,5.02,3.35,6.12,11.62,9.14,15.62,1922257.0
20191105,5.95,5.03,3.37,6.28,12.01,9.18,15.9,1938940.5
20191104,5.91,5.02,3.38,6.15,11.93,9.05,15.78,1925762.0
20191101,5.88,5.03,3.28,6.17,11.93,9.03,15.59,1919635.5
20191031,5.82,5.02,3.29,6.11,11.88,8.84,15.35,1904312.0
20191030,5.86,5.02,3.26,6.12,11.95,8.98,15.77,1912887.0
20191029,5.86,5.06,3.3,6.09,11.97,8.96,15.7,1916056.0
20191028,5.91,5.09,3.34,6.19,12.4,9.05,16.01,1933081.5
20191025,5.88,5.07,3.34,6.24,12.48,9.06,15.88,1926559.5
20191024,5.87,5.06,3.34,6.23,12.2,9.1,16.19,1923346.0
20191023,5.86,5.04,3.32,6.1,12.47,8.87,16.11,1915184.0
20191022,5.85,5.07,3.33,6.17,12.78,8.87,15.81,1918044.5
20191021,5.84,5.03,3.34,6.18,13.75,8.89,15.28,1913050.5
20191018,5.81,5.05,3.4,6.12,14.4,8.83,15.23,1907857.5
20191017,5.91,5.06,3.44,6.16,14.99,9.01,15.21,1931641.0
20191016,5.92,5.08,3.42,6.18,14.9,9.06,14.77,1935633.0
20191015,5.97,5.09,3.43,6.14,15.07,9.2,14.91,1946106.5
20191014,6.0,5.13,3.44,6.11,15.61,9.25,15.2,1955605.5
20191011,5.94,5.1,3.37,6.0,15.51,8.95,14.82,1935740.0
20191010,5.92,5.09,3.33,5.92,15.19,8.8,14.64,1927381.5
20191009,5.87,5.06,3.32,5.86,15.12,8.79,14.23,1912156.0
20191008,5.87,5.05,3.31,5.85,14.83,8.66,14.6,1910737.5
20190930,5.89,5.03,3.32,5.78,14.8,8.61,14.4,1910945.5
20190927,5.93,5.05,3.31,5.79,15.2,8.74,15.07,1921857.5
20190926,5.94,5.05,3.3,5.89,15.07,8.73,15.03,1926702.5
20190925,5.95,5.03,3.35,5.89,15.82,8.65,15.34,1928075.5
20190924,6.05,5.1,3.36,5.99,16.15,8.73,15.59,1958565.0
20190923,6.09,5.11,3.38,5.9,16.34,8.72,14.21,1964698.5
20190920,6.2,5.2,3.41,5.99,16.73,8.89,14.49,1999150.0
20190919,6.11,5.2,3.42,5.99,16.83,8.88,14.49,1980690.0
20190918,6.09,5.18,3.42,5.98,16.53,8.83,14.36,1974188.0
20190917,6.1,5.19,3.5,5.97,16.91,8.83,14.17,1977991.5
20190916,6.19,5.32,3.5,6.09,17.1,8.97,14.88,2012492.0
20190912,6.24,5.34,3.43,6.12,17.66,9.02,15.31,2025174.0
20190911,6.16,5.32,3.43,6.1,17.31,8.99,15.21,2005962.0
20190910,6.17,5.34,3.44,6.08,17.72,9.04,15.1,2009559.0
20190909,6.18,5.34,3.41,6.1,16.47,9.08,15.36,2011384.0
20190906,6.14,5.27,3.39,6.09,16.32,9.05,15.31,1996124.5
20190905,6.15,5.27,3.42,6.09,16.33,9.04,15.2,1998524.5
20190904,6.08,5.28,3.38,6.13,16.04,8.81,15.13,1985203.0
20190903,5.99,5.19,3.34,5.92,15.71,8.64,15.01,1951271.5
20190902,6.0,5.19,3.34,5.96,15.79,8.62,14.52,1954316.5
20190830,5.92,5.12,3.31,5.9,15.48,8.47,14.21,1928817.0
20190829,5.98,5.18,3.34,5.93,15.59,8.55,14.37,1948133.0
20190828,5.99,5.16,3.35,6.03,15.61,8.61,14.08,1951461.0
20190827,5.89,5.16,3.33,5.99,15.92,8.65,14.4,1929656.0
20190826,5.87,5.1,3.31,6.03,15.97,8.53,14.23,1920885.0
20190823,5.94,5.16,3.35,6.01,15.63,8.65,14.95,1940996.0
20190822,5.95,5.16,3.32,6.09,16.11,8.63,14.82,1945231.0
20190821,5.94,5.17,3.31,6.01,16.0,8.63,15.15,1941639.5
20190820,5.9,5.15,3.34,6.1,16.48,8.64,14.77,1934712.5
20190819,5.91,5.18,3.35,6.26,15.48,8.68,15.09,1944108.0
20190816,5.78,5.07,3.3,5.69,14.07,8.49,14.36,1888304.5
20190815,5.79,5.1,3.34,5.61,13.89,8.47,14.29,1891045.0
20190814,5.78,5.1,3.22,5.67,13.92,8.5,13.69,1888960.0
20190813,5.77,5.09,3.18,5.58,13.98,8.47,13.49,1882671.5
20190812,5.82,5.14,3.22,5.63,14.37,8.59,12.86,1899534.0
20190809,5.79,5.08,3.19,5.45,13.88,8.51,12.29,1881533.0
20190808,5.81,5.12,3.23,5.54,14.42,8.64,12.35,1892917.0
20190807,5.79,5.08,3.23,5.53,14.38,8.47,12.24,1884638.0
20190806,5.81,5.13,3.22,5.56,14.63,8.47,12.33,1894210.5
20190805,5.95,5.29,3.33,5.75,13.77,8.59,12.62,1944531.5
20190802,6.09,5.24,3.39,5.82,13.5,8.78,12.89,1972089.0
20190801,6.13,5.33,3.45,5.89,13.94,8.95,13.42,1991990.5
20190731,6.17,5.35,3.48,5.91,14.18,9.04,13.67,2003392.5
20190730,6.23,5.31,3.51,5.94,14.43,9.13,13.39,2013583.5
20190729,6.21,5.28,3.5,5.88,14.38,9.08,13.31,2004703.0
20190726,6.22,5.24,3.52,5.9,14.55,9.08,13.25,2004094.0
20190725,6.17,5.24,3.49,5.94,15.06,9.11,13.41,1994919.0
20190724,6.17,5.24,3.51,5.93,15.22,9.05,13.06,1994724.0
20190723,6.16,5.2,3.48,5.91,15.14,9.0,12.43,1987665.0
20190722,6.14,5.17,3.48,5.96,15.13,9.0,12.25,1982234.5
20190719,6.17,5.17,3.52,6.05,15.75,9.1,12.46,1992179.5
20190718,6.15,5.16,3.52,6.01,14.95,9.04,12.36,1985431.0
20190717,6.23,5.24,3.54,6.04,15.26,9.15,12.81,2010829.0
20190716,6.26,5.24,3.55,6.1,15.25,9.17,12.66,2018909.0
20190715,6.26,5.23,3.55,6.07,15.5,9.17,12.76,2017285.5
20190712,6.19,5.18,3.54,5.97,14.93,9.18,12.77,1994903.0
20190711,6.18,5.17,3.54,5.92,15.04,9.05,12.79,1990369.5
20190710,6.19,5.15,3.48,5.92,15.27,9.03,12.73,1989927.5
20190709,6.24,5.18,3.5,5.98,15.79,9.07,12.71,2005323.0
20190708,6.26,5.17,3.49,6.06,15.9,9.14,12.68,2010944.5
20190705,6.43,5.33,3.56,6.23,16.06,9.4,13.15,2067095.5
20190704,6.43,5.32,3.55,6.28,16.7,9.39,13.26,2067932.0
20190703,6.4,5.36,3.55,6.24,17.34,9.78,13.41,2064901.0
20190702,6.42,5.38,3.6,6.27,17.47,9.74,13.3,2072358.0
20190701,6.47,5.35,3.63,6.28,18.36,9.76,13.26,2081147.5
20190628,6.31,5.24,3.56,6.2,16.69,9.54,12.05,2033174.0
20190627,6.36,5.31,3.61,6.26,16.6,9.66,12.15,2052388.5
20190626,6.35,5.28,3.63,6.22,15.42,9.69,12.11,2046103.0
20190625,6.35,5.28,3.55,6.22,16.25,9.77,12.04,2045523.0
20190624,6.4,5.36,3.59,6.22,14.77,9.69,12.24,2062861.0
20190621,6.44,5.35,3.61,6.18,15.42,9.77,12.32,2069747.5
20190620,6.38,5.3,3.53,6.11,15.5,9.85,11.95,2049630.0
20190619,6.51,5.24,3.48,5.99,14.15,9.48,11.84,2065799.0
20190618,6.47,5.18,3.46,5.87,14.03,9.45,11.65,2048083.0
20190617,6.41,5.2,3.49,5.9,13.85,9.4,11.69,2038630.0
20190614,6.38,5.19,3.51,5.92,13.79,9.26,11.81,2032271.5
20190613,6.45,5.3,3.53,6.03,14.21,9.48,11.94,2060700.0
20190612,6.42,5.24,3.48,6.0,14.25,9.45,11.91,2047524.0
20190611,6.49,5.29,3.54,6.07,14.57,9.61,12.1,2069801.5
20190610,6.29,5.18,3.46,5.96,13.6,9.3,11.68,2013173.0
20190606,6.17,5.13,3.46,5.81,13.97,9.14,12.83,1979940.5
20190605,6.27,5.12,3.63,5.91,13.57,9.21,13.08,2004947.0
20190604,6.31,5.12,3.65,5.89,13.59,9.17,13.08,2012857.0
20190603,6.33,5.14,3.64,5.93,13.22,9.25,13.38,2019909.0
20190531,6.4,5.23,3.71,5.95,13.08,9.34,13.68,2044165.5
20190530,6.45,5.24,3.73,5.96,13.0,9.28,13.47,2055769.0
20190529,6.51,5.27,3.66,6.03,13.36,9.38,13.63,2072434.5
20190528,6.58,5.3,3.68,6.07,13.21,9.31,13.4,2090820.0
20190527,6.52,5.33,3.67,5.98,13.43,9.38,13.26,2078375.5
20190524,6.38,5.24,3.62,5.88,13.09,9.27,12.9,2037199.0
20190523,6.41,5.23,3.68,5.91,12.43,9.13,13.04,2043790.5
20190522,6.53,5.32,3.73,6.05,11.93,9.26,13.37,2081612.0
20190521,6.59,5.35,3.77,6.13,12.06,9.33,13.5,2099847.5
20190520,6.58,5.3,3.74,6.11,11.93,9.2,13.2,2091950.0
20190517,6.52,5.36,3.72,6.08,11.6,9.22,13.2,2083616.0
20190516,6.7,5.6,3.8,6.23,12.47,9.6,13.83,2149110.0
20190515,6.63,5.73,3.78,6.22,12.52,9.58,13.89,2145775.5
20190514,6.5,5.83,3.72,6.11,12.41,9.51,13.61,2123505.5
20190513,6.53,5.65,3.76,6.21,12.31,9.55,13.88,2117187.5
20190510,6.49,5.81,3.82,6.29,12.59,9.8,14.22,2127023.5
20190509,6.31,5.63,3.75,6.12,12.1,9.61,13.83,2066950.5
20190508,6.37,5.65,3.79,6.24,12.03,9.88,13.96,2085587.5
20190507,6.41,5.64,3.79,6.15,12.12,10.15,14.18,2090694.0
20190506,6.28,5.58,3.75,5.94,11.02,10.13,13.92,2050873.0
20190430,6.9,5.94,4.05,6.03,12.24,10.6,15.42,2219989.0
20190429,6.86,5.93,4.02,5.87,12.09,10.49,15.5,2205475.5
20190426,7.02,5.93,4.21,6.01,13.01,10.47,16.01,2245960.5
20190425,7.07,5.93,4.33,6.1,13.46,10.55,16.17,2260955.5
20190424,7.36,6.2,4.61,6.3,14.27,10.8,16.93,2355920.0
20190423,7.29,6.18,4.53,6.27,14.39,10.79,17.18,2337868.0
20190422,7.45,6.35,4.55,6.34,14.18,10.82,17.08,2388497.5
20190419,7.57,6.51,4.58,6.39,14.33,11.18,17.89,2430443.5
20190418,7.55,6.34,4.38,6.36,14.16,11.12,19.61,2408244.0
20190417,7.61,6.39,4.43,6.39,14.39,11.23,17.91,2426081.5
20190416,7.66,6.35,4.42,6.41,14.5,11.33,16.28,2432647.5
20190415,7.53,6.23,4.36,6.37,14.17,10.8,15.5,2391890.5
20190412,7.64,6.39,4.4,6.35,14.39,10.85,15.71,2429221.5
20190411,7.64,6.27,4.44,6.36,14.31,10.85,15.67,2419199.5
20190410,7.78,6.5,4.47,6.43,14.67,11.2,15.9,2471980.0
20190409,7.76,6.38,4.54,6.43,15.0,11.26,16.21,2458348.0
20190408,7.74,6.31,4.57,6.48,14.82,11.5,15.62,2449663.5
20190404,7.8,6.37,4.47,6.51,15.27,11.48,15.84,2467389.5
20190403,7.78,6.26,4.47,6.58,15.59,11.12,16.08,2455386.0
20190402,7.57,6.21,4.43,6.65,15.22,11.1,16.01,2408763.5
20190401,7.56,6.18,4.45,6.74,15.54,11.22,15.56,2407013.0
20190329,7.34,5.98,4.35,6.49,15.37,10.95,14.75,2333943.0
20190328,7.12,5.89,4.27,6.35,14.07,10.37,14.3,2273621.5
20190327,7.25,5.94,4.38,6.44,14.43,10.53,14.25,2309469.0
20190326,7.28,5.95,4.28,6.47,14.0,10.37,14.24,2315797.5
20190325,7.47,6.17,4.37,6.56,14.24,10.66,14.67,2379389.5
20190322,7.51,6.27,4.46,6.77,15.1,11.09,15.09,2405194.5
20190321,7.54,6.23,4.51,6.58,15.45,11.28,15.3,2403230.5
20190320,7.45,6.15,4.56,6.58,14.92,11.37,15.06,2377767.5
20190319,7.48,6.15,4.53,6.51,14.66,11.07,15.26,2381157.5
20190318,7.54,6.19,4.5,6.5,14.7,11.19,15.19,2396586.5
20190315,7.38,6.07,4.33,6.41,14.45,10.82,14.86,2347114.5
20190314,7.2,5.96,4.3,6.28,14.26,10.77,14.73,2295471.0
20190313,7.35,6.14,4.27,6.49,14.77,11.17,15.32,2349554.0
20190312,7.49,6.2,4.28,6.63,15.58,11.74,16.18,2389660.0
20190311,7.49,6.2,4.23,6.32,15.44,11.8,16.32,2379770.0
20190308,7.3,6.02,4.14,6.2,15.7,11.67,15.82,2319247.0
20190307,7.66,6.28,4.4,6.68,17.44,12.82,17.19,2437613.0
20190306,7.44,6.16,4.39,6.42,15.85,11.65,16.72,2371161.0
20190305,7.37,6.1,4.32,6.44,14.41,11.28,15.45,2349245.0
20190304,7.33,5.95,4.32,6.38,14.12,11.39,15.31,2325582.5
20190301,7.22,5.9,4.3,6.44,13.86,11.08,15.08,2299305.0
20190228,7.2,5.89,4.35,6.11,13.53,10.77,15.09,2284546.5
20190227,7.18,5.83,4.22,6.3,15.0,10.77,14.93,2279680.5
20190226,7.25,5.89,4.22,6.36,14.47,9.79,15.1,2300201.5
20190225,7.27,5.85,4.21,5.94,13.7,10.14,15.16,2288012.5
20190222,6.97,5.63,4.05,5.64,12.45,9.22,14.09,2192985.5
20190221,6.91,5.5,3.98,5.55,11.32,8.85,13.68,2164135.0
20190220,6.94,5.58,4.0,5.56,11.47,8.9,13.86,2178308.0
20190219,6.94,5.54,4.04,5.49,11.34,8.93,13.92,2173129.0
20190218,7.03,5.58,4.06,5.43,10.98,8.91,13.95,2193628.0
20190215,6.92,5.47,3.97,5.32,10.53,8.69,13.55,2155859.5
20190214,7.03,5.45,4.02,5.34,10.59,8.78,13.86,2178357.5
20190213,7.02,5.48,3.98,5.35,10.69,8.86,13.79,2178858.0
20190212,7.02,5.41,3.88,5.29,10.18,8.69,12.54,2168418.5
20190211,6.76,5.39,3.83,5.26,10.11,8.65,12.15,2110981.5
20190201,6.68,5.22,3.76,5.15,9.88,8.56,11.9,2074607.0
20190131,6.44,5.07,3.72,5.07,9.56,8.46,11.5,2008069.5
20190130,6.45,5.1,3.74,5.07,9.85,8.44,11.58,2013260.0
20190129,6.59,5.16,3.67,5.14,9.93,8.47,11.56,2048881.0
20190128,6.62,5.23,3.71,5.18,10.21,8.61,11.76,2063480.5
20190125,6.59,5.3,3.73,5.17,10.7,8.67,11.8,2063845.0
20190124,6.63,5.33,3.73,5.21,11.0,8.61,11.85,2076135.5
20190123,6.56,5.3,3.75,5.23,10.71,8.58,11.84,2059630.0
20190122,6.52,5.31,3.78,5.2,10.82,8.61,11.88,2051843.5
20190121,6.72,5.36,3.85,5.29,10.85,8.66,12.07,2101506.0
20190118,6.79,5.37,3.8,5.28,10.92,8.7,12.05,2116009.5
20190117,6.64,5.45,3.76,5.28,10.93,8.62,11.95,2091502.5
20190116,6.77,5.38,3.83,5.32,11.03,8.64,12.12,2114388.0
20190115,6.79,5.37,3.89,5.34,11.31,8.7,12.28,2119289.5
20190114,6.7,5.35,3.85,5.29,10.78,8.58,12.1,2096367.5
20190111,6.75,5.36,3.89,5.31,11.0,8.71,12.17,2109011.0
20190110,6.72,5.34,3.86,5.29,10.53,8.64,12.03,2099639.0
20190109,6.67,5.3,3.86,5.27,10.85,8.81,12.12,2085470.0
20190108,6.7,5.33,3.89,5.27,10.76,8.81,11.73,2094525.5
20190107,6.77,5.29,3.83,5.23,10.87,8.9,11.74,2103591.5
20190104,6.48,5.24,3.77,5.22,10.93,8.8,11.65,2037874.0
20190103,6.27,5.13,3.69,5.15,9.94,8.48,11.52,1980500.5
20190102,6.23,5.13,3.69,5.15,9.77,8.44,11.6,1972135.5
20181228,6.26,5.18,3.76,5.25,9.91,8.52,11.59,1986893.0
20181227,6.04,5.16,3.76,5.33,9.8,8.49,11.56,1941856.0
20181226,6.05,5.25,3.73,5.32,9.92,8.57,11.78,1951572.5
20181225,5.96,5.14,3.71,5.29,10.08,8.61,11.78,1922019.0
20181224,6.07,5.22,3.87,5.35,10.21,8.68,11.9,1956052.0
20181221,5.97,5.22,3.87,5.34,10.31,8.67,11.76,1935022.0
20181220,6.02,5.24,3.93,5.34,10.28,8.62,11.78,1947894.0
20181219,6.05,5.22,3.91,5.32,9.94,8.63,11.93,1951362.0
20181218,6.05,5.24,4.0,5.37,10.02,8.7,12.23,1956089.0
20181217,6.13,5.26,4.02,5.27,10.17,8.78,12.28,1971886.0
20181214,6.0,5.26,4.1,5.3,10.07,8.75,12.06,1946726.0
20181213,6.05,5.37,4.19,5.36,10.46,8.93,12.24,1970394.5
20181212,5.88,5.28,4.14,5.35,10.19,8.83,12.09,1925858.0
20181211,5.83,5.37,4.14,5.29,10.14,8.83,12.0,1921724.5
20181210,5.82,5.32,4.05,5.34,10.07,8.71,11.92,1915297.0
20181207,5.88,5.4,4.05,5.35,10.36,8.86,11.92,1935500.0
20181206,5.83,5.4,4.04,5.31,10.33,8.85,11.96,1923815.0
20181205,5.92,5.48,4.12,5.33,10.48,8.92,12.3,1951588.0
20181204,6.01,5.55,4.18,5.41,10.8,9.06,12.1,1979887.5
20181203,5.99,5.59,4.13,5.39,10.66,9.09,12.0,1978001.5
20181130,5.8,5.5,3.98,5.3,10.46,8.91,11.53,1925420.0
20181129,5.82,5.43,3.97,5.31,10.47,8.9,11.46,1923400.5
20181128,5.98,5.51,4.05,5.43,11.45,9.11,11.79,1969213.5
20181127,5.91,5.41,4.01,5.39,11.21,9.03,11.66,1943753.5
20181126,5.93,5.42,4.01,5.48,11.23,9.09,11.73,1951597.0
20181123,5.9,5.5,4.08,5.47,11.67,9.07,11.81,1953425.0
20181122,6.11,5.68,4.3,5.59,12.67,9.37,12.43,2020638.0
20181121,6.12,5.66,4.32,5.69,12.63,9.49,12.52,2024316.0
20181120,6.16,5.68,4.42,5.5,13.12,9.54,12.62,2030338.0
20181119,6.28,5.85,4.57,5.66,13.06,9.95,13.02,2077782.5
20181116,6.24,5.88,4.58,5.61,12.38,9.66,12.86,2070118.0
20181115,6.11,5.72,4.61,5.42,12.3,9.5,12.89,2023337.0
20181114,6.02,5.64,4.45,5.3,12.04,9.4,12.58,1991454.0
20181113,6.05,5.66,4.46,5.3,12.52,9.57,12.67,2000046.0
20181112,5.97,5.59,4.44,5.19,12.45,9.41,12.59,1973401.5
20181109,5.81,5.48,4.35,5.07,12.22,9.32,12.34,1925298.0
20181108,5.8,5.47,4.54,5.1,12.73,9.61,12.39,1926269.5
20181107,5.89,5.53,4.55,5.15,13.35,9.63,12.53,1952320.5
20181106,5.98,5.54,4.65,5.23,13.31,9.8,12.79,1975829.0
20181105,5.88,5.6,4.61,5.28,14.63,10.0,12.6,1962265.0
20181102,5.85,5.65,4.52,5.17,14.64,9.92,12.61,1956007.5
20181101,5.72,5.48,4.42,5.06,13.31,9.72,12.35,1908228.0
20181031,5.7,5.45,4.42,5.2,12.1,9.86,12.25,1905077.5
20181030,5.6,5.41,4.33,5.2,11.0,9.45,12.1,1878578.5
20181029,5.54,5.36,4.37,5.19,10.0,9.09,12.07,1861011.0
20181026,5.54,5.45,4.49,5.19,9.09,9.42,12.09,1870542.5
20181025,5.49,5.4,4.48,5.19,9.09,9.6,12.0,1855705.0
20181024,5.54,5.5,4.57,5.14,9.09,9.43,12.19,1874635.0
20181023,5.53,5.46,4.7,5.14,9.09,8.99,12.19,1870221.0
20181022,5.62,5.55,4.83,5.22,9.09,9.37,12.65,1901637.5
20181019,5.36,5.31,4.53,4.92,9.09,8.83,11.61,1812293.5
20181018,5.25,5.22,4.43,4.83,9.09,8.62,11.38,1777112.0
20181017,5.48,5.26,4.7,5.0,9.09,9.0,11.76,1837496.0
20181016,5.42,5.17,4.89,4.94,9.09,9.14,11.57,1817704.5
20181015,5.51,5.5,4.88,4.98,9.09,9.25,11.89,1867325.0
20181012,5.59,5.56,4.97,5.02,9.09,9.58,11.96,1892011.0
20181011,5.62,5.5,4.89,4.99,9.09,9.06,12.34,1890560.0
20181010,6.02,5.91,5.34,5.37,9.09,10.03,13.71,2029103.5
20181009,5.96,5.83,5.33,5.32,9.09,10.21,13.73,2008055.5
20181008,5.98,5.95,5.03,5.38,9.09,10.3,13.72,2020962.5
20180928,6.11,6.04,5.11,5.43,9.09,11.34,14.24,2059799.0
20180927,6.07,5.99,5.04,5.36,9.09,11.98,14.2,2044636.5
20180926,6.1,5.99,5.03,5.42,9.09,11.51,14.55,2052221.5
20180925,6.11,5.94,4.94,5.43,9.09,11.51,14.43,2048869.0
20180921,6.04,5.95,4.78,5.44,9.09,11.51,14.45,2033507.5
20180920,5.97,5.91,4.75,5.39,9.09,11.51,14.27,2013443.5
20180919,5.95,5.87,4.67,5.3,9.09,11.51,14.42,2002044.5
20180918,5.95,5.84,4.51,5.27,9.09,11.51,14.31,1996314.0
20180917,5.75,5.8,4.49,5.21,9.09,11.51,14.17,1949190.0
20180914,5.84,5.87,4.43,5.26,9.09,11.51,14.6,1975044.5
20180913,5.86,5.86,4.43,5.22,9.09,11.51,14.79,1977181.0
20180912,5.8,5.8,4.33,5.2,9.09,11.51,14.72,1957435.0
20180911,5.81,5.82,4.34,5.26,9.09,11.51,14.69,1963217.0
20180910,5.79,5.83,4.47,5.24,9.09,11.51,14.63,1961035.5
20180907,5.94,5.83,4.41,5.24,9.09,11.51,14.89,1991435.5
20180906,5.92,5.83,4.4,5.19,9.09,11.51,15.03,1985735.5
20180905,5.95,5.84,4.37,5.25,9.09,11.51,14.63,1994054.0
20180904,6.03,5.9,4.47,5.29,9.09,11.51,14.93,2018655.0
20180903,5.99,5.89,4.46,5.29,9.09,11.51,14.7,2009231.5
20180831,6.02,5.86,4.44,5.21,9.09,11.51,14.79,2010131.0
20180830,6.01,5.87,4.63,5.19,9.09,11.51,14.8,2010834.5
20180829,6.1,5.89,4.49,5.2,9.09,11.51,15.11,2029896.5
20180828,6.17,5.91,4.64,5.23,9.09,11.51,15.32,2049138.5
20180827,6.16,5.92,4.68,5.18,9.09,11.51,15.31,2046982.0
20180824,6.09,5.88,4.61,5.12,9.09,11.51,14.99,2026028.0
20180823,6.13,5.86,4.68,5.02,9.09,11.51,15.13,2030491.0
20180822,6.08,5.85,4.63,4.99,9.09,11.51,14.74,2017497.5
20180821,6.13,5.9,4.66,5.07,9.09,11.51,15.02,2035270.0
20180820,6.07,5.9,4.62,5.02,9.09,11.51,14.92,2020780.0
20180817,6.04,5.8,4.49,4.98,9.09,11.51,14.63,2002550.0
20180816,6.15,5.83,4.67,5.03,9.09,11.51,14.89,2031985.5
20180815,6.22,5.91,4.75,5.03,9.09,11.51,15.06,2054788.5
20180814,6.38,6.03,4.79,5.13,9.09,11.51,15.51,2102435.5
20180813,6.44,6.05,4.69,5.1,9.09,11.51,15.72,2114557.5
20180810,6.4,6.05,4.69,5.13,9.09,11.51,15.47,2107052.5
20180809,6.46,6.07,4.68,5.09,9.09,11.51,15.42,2119914.5
20180808,6.37,6.0,4.63,5.02,9.09,11.51,15.01,2092040.0
20180807,6.49,6.0,4.6,5.02,9.09,11.51,15.55,2116760.0
20180806,6.15,5.86,4.38,4.89,9.09,11.51,15.14,2026836.0
20180803,6.13,5.95,4.36,4.98,9.09,11.51,15.81,2033557.5
20180802,6.28,5.8,4.45,4.89,9.09,11.51,16.24,2049815.0
20180801,6.35,5.95,4.4,5.07,9.09,11.51,16.98,2082902.5
20180731,6.36,6.06,4.6,5.1,9.09,11.51,17.17,2098451.0
20180730,6.47,6.05,4.56,5.12,9.09,11.51,17.14,2120387.5
20180727,6.38,6.1,4.63,5.09,9.09,11.51,17.29,2106335.0
20180726,6.45,6.12,4.5,5.08,9.09,11.51,17.76,2120867.0
20180725,6.44,6.13,4.44,5.07,9.09,11.51,17.71,2118590.5
20180724,6.44,6.1,4.48,5.13,9.09,11.51,18.06,2118390.0
20180723,6.01,5.98,4.46,4.98,9.09,11.51,17.25,2013433.0
20180720,5.82,5.91,4.44,4.98,9.09,11.51,17.3,1967578.5
20180719,5.96,5.87,4.42,4.82,9.09,11.51,16.93,1987719.5
20180718,6.0,5.92,4.32,4.83,9.09,11.51,17.21,1999632.0
20180717,6.01,6.0,4.27,4.78,9.09,11.51,17.69,2006980.0
20180716,6.01,5.86,4.28,4.84,9.09,11.51,17.84,1996406.0
20180713,5.97,5.91,4.29,4.89,9.09,11.51,17.62,1994138.5
20180712,5.96,5.87,4.31,4.92,9.09,11.51,17.96,1989804.5
20180711,5.83,5.75,4.17,4.86,9.09,11.51,16.65,1947837.5
20180710,5.93,5.87,4.24,4.92,9.09,11.51,17.35,1982379.5
20180709,5.9,5.85,4.22,4.93,9.09,11.51,17.47,1974472.5
20180706,5.82,5.76,3.97,4.88,9.09,11.51,17.23,1944956.0
20180705,5.81,5.78,3.94,4.85,9.09,11.51,16.96,1943258.0
20180704,5.94,5.96,4.09,4.92,9.09,11.51,17.17,1990496.0
20180703,5.91,5.97,4.07,4.91,9.09,11.51,17.9,1984989.5
20180702,5.81,5.89,3.94,4.87,9.09,11.51,17.59,1954056.5
20180629,5.91,5.99,4.09,4.94,9.09,11.51,18.44,1988216.5
20180628,5.79,5.91,3.99,4.87,9.09,11.51,17.89,1952513.5
20180627,5.79,5.95,4.07,4.88,9.09,11.51,18.27,1957637.5
20180626,5.78,5.95,4.1,4.91,9.09,11.51,18.53,1956987.5
20180625,5.78,5.95,3.98,4.91,9.09,11.51,18.21,1955267.5
20180622,5.87,5.96,3.86,4.95,9.09,11.51,18.72,1974691.0
20180621,5.86,5.93,3.68,4.94,9.09,11.51,18.17,1967010.5
20180620,5.94,6.06,3.74,4.95,9.09,11.51,19.86,1997176.0
20180619,5.82,6.06,3.65,4.91,9.09,11.51,20.32,1970196.0
20180615,6.33,6.59,3.95,5.39,9.09,11.51,22.58,2142816.5
